player,season,team,games,games_starts,minutes,minutes_90s,goals,assists,goals_assists,goals_pens,pens_made,pens_att,cards_yellow,cards_red,xg,npxg,xg_assist,npxg_xg_assist,progressive_carries,progressive_passes,goals_per90,assists_per90,goals_assists_per90,goals_pens_per90,goals_assists_pens_per90,xg_per90,xg_assist_per90,xg_xg_assist_per90,npxg_per90,npxg_xg_assist_per90
Cristian Gamboa,2015-2016,West Brom,1,0,28,0.3,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Idrissa Gana Gueye,2015-2016,Aston Villa,35,35,3071,34.1,0,1,1,0,0,0,10,0,0.0,0.0,0.0,0.0,0,0,0.0,0.03,0.03,0.0,0.03,0.0,0.0,0.0,0.0,0.0
Manu García,2015-2016,Manchester City,1,0,11,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Craig Gardner,2015-2016,West Brom,34,20,2038,22.6,3,3,6,3,0,1,5,0,0.0,0.0,0.0,0.0,0,0,0.13,0.13,0.26,0.13,0.26,0.0,0.0,0.0,0.0,0.0
Dwight Gayle,2015-2016,Crystal Palace,16,8,771,8.6,3,0,3,3,0,0,2,1,0.0,0.0,0.0,0.0,0,0,0.35,0.0,0.35,0.35,0.35,0.0,0.0,0.0,0.0,0.0
Paulo Gazzaniga,2015-2016,Southampton,2,2,180,2.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
David de Gea,2015-2016,Manchester Utd,34,34,3060,34.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Rudy Gestede,2015-2016,Aston Villa,32,14,1669,18.5,5,2,7,5,0,0,2,0,0.0,0.0,0.0,0.0,0,0,0.27,0.11,0.38,0.27,0.38,0.0,0.0,0.0,0.0,0.0
Kieran Gibbs,2015-2016,Arsenal,15,3,391,4.3,1,0,1,1,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.23,0.0,0.23,0.23,0.23,0.0,0.0,0.0,0.0,0.0
Darron Gibson,2015-2016,Everton,7,2,242,2.7,0,1,1,0,0,0,3,0,0.0,0.0,0.0,0.0,0,0,0.0,0.37,0.37,0.0,0.37,0.0,0.0,0.0,0.0,0.0
Carles Gil,2015-2016,Aston Villa,23,17,1435,15.9,2,0,2,2,0,0,3,0,0.0,0.0,0.0,0.0,0,0,0.13,0.0,0.13,0.13,0.13,0.0,0.0,0.0,0.0,0.0
Marco van Ginkel,2015-2016,Stoke City,17,8,755,8.4,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Olivier Giroud,2015-2016,Arsenal,38,26,2429,27.0,16,6,22,15,1,1,2,0,0.0,0.0,0.0,0.0,0,0,0.59,0.22,0.82,0.56,0.78,0.0,0.0,0.0,0.0,0.0
Shay Given,2015-2016,Stoke City,3,3,225,2.5,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Serge Gnabry,2015-2016,West Brom,1,0,13,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Heurelho Gomes,2015-2016,Watford,38,38,3396,37.7,0,0,0,0,0,0,4,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Joe Gomez,2015-2016,Liverpool,5,5,437,4.9,0,1,1,0,0,0,3,0,0.0,0.0,0.0,0.0,0,0,0.0,0.21,0.21,0.0,0.21,0.0,0.0,0.0,0.0,0.0
Jordi Gómez,2015-2016,Sunderland,6,5,352,3.9,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bafétimbi Gomis,2015-2016,Swansea City,33,18,1703,18.9,6,0,6,5,1,1,0,0,0.0,0.0,0.0,0.0,0,0,0.32,0.0,0.32,0.26,0.26,0.0,0.0,0.0,0.0,0.0
Dan Gosling,2015-2016,Bournemouth,34,28,2444,27.2,3,1,4,3,0,0,6,0,0.0,0.0,0.0,0.0,0,0,0.11,0.04,0.15,0.11,0.15,0.0,0.0,0.0,0.0,0.0
Yoan Gouffran,2015-2016,Newcastle Utd,8,2,227,2.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lewis Grabban,2015-2016,Norwich City,6,3,250,2.8,1,0,1,1,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.36,0.0,0.36,0.36,0.36,0.0,0.0,0.0,0.0,0.0
Lewis Grabban,2015-2016,Bournemouth,15,4,577,6.4,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Max Gradel,2015-2016,Bournemouth,14,11,891,9.9,1,2,3,1,0,0,1,0,0.0,0.0,0.0,0.0,0,0,0.1,0.2,0.3,0.1,0.3,0.0,0.0,0.0,0.0,0.0
Danny Graham,2015-2016,Sunderland,10,4,360,4.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Demarai Gray,2015-2016,Leicester City,12,1,187,2.1,0,1,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.48,0.48,0.0,0.48,0.0,0.0,0.0,0.0,0.0
Jack Grealish,2015-2016,Aston Villa,16,9,833,9.3,1,0,1,1,0,0,1,0,0.0,0.0,0.0,0.0,0,0,0.11,0.0,0.11,0.11,0.11,0.0,0.0,0.0,0.0,0.0
André Green,2015-2016,Aston Villa,2,0,59,0.7,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Rees Greenwood,2015-2016,Sunderland,1,1,51,0.6,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Matt Grimes,2015-2016,Swansea City,1,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Adlène Guedioura,2015-2016,Watford,18,3,430,4.8,0,2,2,0,0,0,2,0,0.0,0.0,0.0,0.0,0,0,0.0,0.42,0.42,0.0,0.42,0.0,0.0,0.0,0.0,0.0
Brad Guzan,2015-2016,Aston Villa,28,28,2520,28.0,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
