player,season,team,games,games_starts,minutes,minutes_90s,goals,assists,goals_assists,goals_pens,pens_made,pens_att,cards_yellow,cards_red,xg,npxg,xg_assist,npxg_xg_assist,progressive_carries,progressive_passes,goals_per90,assists_per90,goals_assists_per90,goals_pens_per90,goals_assists_pens_per90,xg_per90,xg_assist_per90,xg_xg_assist_per90,npxg_per90,npxg_xg_assist_per90
César Delgado,2010-2011,Lyon,19,9,873,9.7,1,2,3,1,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.1,0.21,0.31,0.1,0.31,0.0,0.0,0.0,0.0,0.0
Yohan Demont,2010-2011,Lens,33,30,2744,30.5,1,0,1,1,0,0,4,0,0.0,0.0,0.0,0.0,0,0,0.03,0.0,0.03,0.03,0.03,0.0,0.0,0.0,0.0,0.0
Geoffrey Dernis,2010-2011,Montpellier,25,14,1244,13.8,1,0,1,1,0,0,4,0,0.0,0.0,0.0,0.0,0,0,0.07,0.0,0.07,0.07,0.07,0.0,0.0,0.0,0.0,0.0
Anthony Deroin,2010-2011,Caen,4,0,65,0.7,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Antoine Devaux,2010-2011,Toulouse,28,23,2007,22.3,1,1,2,1,0,0,4,0,0.0,0.0,0.0,0.0,0,0,0.04,0.04,0.09,0.04,0.09,0.0,0.0,0.0,0.0,0.0
Cheick Diabaté,2010-2011,Bordeaux,16,7,731,8.1,4,1,5,3,1,1,1,0,0.0,0.0,0.0,0.0,0,0,0.49,0.12,0.62,0.37,0.49,0.0,0.0,0.0,0.0,0.0
Pape Diakhaté,2010-2011,Lyon,24,23,2121,23.6,1,0,1,1,0,0,9,1,0.0,0.0,0.0,0.0,0,0,0.04,0.0,0.04,0.04,0.04,0.0,0.0,0.0,0.0,0.0
Drissa Diakité,2010-2011,Nice,29,24,2030,22.6,0,0,0,0,0,0,10,2,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Samba Diakité,2010-2011,Nancy,23,16,1570,17.4,0,0,0,0,0,0,6,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Alou Diarra,2010-2011,Bordeaux,32,32,2798,31.1,4,1,5,4,0,0,7,2,0.0,0.0,0.0,0.0,0,0,0.13,0.03,0.16,0.13,0.16,0.0,0.0,0.0,0.0,0.0
Mahamadou Diarra,2010-2011,Monaco,9,9,810,9.0,0,0,0,0,0,0,3,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sigamary Diarra,2010-2011,Lorient,34,28,2482,27.6,3,1,4,3,0,0,2,0,0.0,0.0,0.0,0.0,0,0,0.11,0.04,0.15,0.11,0.15,0.0,0.0,0.0,0.0,0.0
Rafaël Dias,2010-2011,Sochaux,2,0,24,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kaba Diawara,2010-2011,Arles-Avignon,20,10,942,10.5,3,1,4,2,1,1,1,0,0.0,0.0,0.0,0.0,0,0,0.29,0.1,0.38,0.19,0.29,0.0,0.0,0.0,0.0,0.0
